id;type_document;type_ressource;date_publication;titre_document;url_fichier
34337;Bilans et rapports;Document;2023-10-20;Situation mensuelle de l'état - Septembre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_09.pdf
34418;Bilans et rapports;Document;2021-09-21;Situation mensuelle de l'état - Août 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_08.pdf
34520;Bilans et rapports;Document;2019-01-21;Situation mensuelle de l'état - Décembre (provisoire) 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_12.pdf
34556;Bilans et rapports;Document;2018-04-24;Situation mensuelle de l'état - Décembre 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_12_definitive.pdf
34775;Bilans et rapports;Document;2012-11-22;Situation mensuelle de l'état - Octobre 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_10.pdf
34841;Bilans et rapports;Document;2010-08-13;Situation mensuelle de l'état - Juin 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_06.pdf
34838;Bilans et rapports;Document;2010-06-21;Situation mensuelle de l'état - Mai 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_05.pdf
34361;Bilans et rapports;Document;2023-02-21;Situation mensuelle de l'état - Janvier 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_01.pdf
34424;Bilans et rapports;Document;2021-07-21;Situation mensuelle de l'état - Juin 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_06.pdf
34529;Bilans et rapports;Document;2018-10-23;Situation mensuelle de l'état - Septembre 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_09.pdf
34571;Bilans et rapports;Document;2017-09-21;Situation mensuelle de l'état - Août 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_08.pdf
34691;Bilans et rapports;Document;2014-09-23;Situation mensuelle de l'état - Août 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_08.pdf
34679;Bilans et rapports;Document;2014-05-21;Situation mensuelle de l'état - Avril 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_04.pdf
34754;Bilans et rapports;Document;2012-04-24;Situation mensuelle de l'état - Mars 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_03.pdf
34391;Bilans et rapports;Document;2022-05-20;Situation mensuelle de l'état - Avril 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_04.pdf
34331;Bilans et rapports;Document;2023-12-21;Situation mensuelle de l'état - Novembre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_11.pdf
34343;Bilans et rapports;Document;2023-08-21;Situation mensuelle de l'état - Juillet 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_07.pdf
34394;Bilans et rapports;Document;2022-04-22;Situation mensuelle de l'état - Mars 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_03.pdf
34403;Bilans et rapports;Document;2022-03-31;Situation mensuelle de l'état - Décembre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_12_definitive.pdf
34598;Bilans et rapports;Document;2016-12-20;Situation mensuelle de l'état - Novembre 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_11.pdf
34655;Bilans et rapports;Document;2015-10-20;Situation mensuelle de l'état - Septembre 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_09.pdf
34853;Bilans et rapports;Document;2010-11-17;Situation mensuelle de l'état - Octobre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_10.pdf
34298;Bilans et rapports;Document;2024-10-21;Situation mensuelle de l'état - Septembre 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_09.pdf
34340;Bilans et rapports;Document;2023-09-21;Situation mensuelle de l'état - Août 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_08.pdf
34436;Bilans et rapports;Document;2021-03-19;Situation mensuelle de l'état - Février 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_02.pdf
34490;Bilans et rapports;Document;2019-10-21;Situation mensuelle de l'état - Septembre 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_09.pdf
34505;Bilans et rapports;Document;2019-05-22;Situation mensuelle de l'état - Avril 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_04.pdf
34565;Bilans et rapports;Document;2017-11-20;Situation mensuelle de l'état - Octobre 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_10.pdf
34574;Bilans et rapports;Document;2017-08-18;Situation mensuelle de l'état - Juillet 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_07.pdf
34601;Bilans et rapports;Document;2016-11-22;Situation mensuelle de l'état - Octobre 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_10.pdf
34709;Bilans et rapports;Document;2013-02-25;Situation mensuelle de l'état - Janvier 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_01.pdf
34397;Bilans et rapports;Document;2022-03-21;Situation mensuelle de l'état - Février 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_02.pdf
34427;Bilans et rapports;Document;2021-06-21;Situation mensuelle de l'état - Mai 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_05.pdf
34433;Bilans et rapports;Document;2021-04-22;Situation mensuelle de l'état - Mars 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_03.pdf
34472;Bilans et rapports;Document;2020-04-20;Situation mensuelle de l'état - Mars 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_03.pdf
34502;Bilans et rapports;Document;2019-06-21;Situation mensuelle de l'état - Mai 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_05.pdf
34508;Bilans et rapports;Document;2019-04-19;Situation mensuelle de l'état - Mars 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_03.pdf
34352;Bilans et rapports;Document;2023-05-22;Situation mensuelle de l'état - Avril 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_04.pdf
34409;Bilans et rapports;Document;2021-12-20;Situation mensuelle de l'état - Novembre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_11.pdf
34442;Bilans et rapports;Document;2021-06-04;Situation mensuelle de l'état - Décembre 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_12_definitive.pdf
34493;Bilans et rapports;Document;2019-09-17;Situation mensuelle de l'état - Août 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_08.pdf
34541;Bilans et rapports;Document;2018-06-22;Situation mensuelle de l'état - Mai 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_05.pdf
34766;Bilans et rapports;Document;2012-08-17;Situation mensuelle de l'état - Juillet 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_07.pdf
34805;Bilans et rapports;Document;2011-08-17;Situation mensuelle de l'état - Juillet 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_07.pdf
34802;Bilans et rapports;Document;2011-07-20;Situation mensuelle de l'état - Juin 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_06.pdf
34799;Bilans et rapports;Document;2011-06-17;Situation mensuelle de l'état - Mai 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_05.pdf
34859;Bilans et rapports;Document;2011-01-21;Situation mensuelle de l'état - Décembre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_12.pdf
34334;Bilans et rapports;Document;2023-11-21;Situation mensuelle de l'état - Octobre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_10.pdf
34379;Bilans et rapports;Document;2022-09-20;Situation mensuelle de l'état - Août 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_08.pdf
